phenotype	phenocode	category	num_cases	num_cases_prev	num_controls	num_gw_significant	num_gw_significant_prev	lambda
Acute otitis externa, noninfective	H8_EXT_NONINF	VIII Diseases of the ear and mastoid process (H8_)	519	461	440335	3	2	0.899
Otitis externa, unspecified	H8_EXT_NAS	VIII Diseases of the ear and mastoid process (H8_)	3850	3271	440335	3	2	1.0389
Other infective otitis externa	H8_EXT_INFNAS	VIII Diseases of the ear and mastoid process (H8_)	2021	1752	440335	3	2	1.0228
Diseases of external ear	H8_EXTERNAL	VIII Diseases of the ear and mastoid process (H8_)	13398	11422	440335	3	3	1.0464
Retinoschisis and retinal cysts	H7_RETINOCHISISCYST	VII Diseases of the eye and adnexa (H7_)	706	633	413784	3	0	0.94372
Traction detachment of retina	H7_RETINALDETACHTRACTION	VII Diseases of the eye and adnexa (H7_)	270	239	413784	3	3	0.75538
Disorders of orbit	H7_ORBIT	VII Diseases of the eye and adnexa (H7_)	1447	1305	412885	3	3	1.0156
Optic neuritis	H7_OPTNEURITIS	VII Diseases of the eye and adnexa (H7_)	1438	1295	450415	3	3	1.0107
Other keratitis	H7_KERATITISOTH	VII Diseases of the eye and adnexa (H7_)	4049	3542	429396	3	2	1.0213
Other and unspecified iridocyclitis	H7_IRIDONAS	VII Diseases of the eye and adnexa (H7_)	1365	1179	429396	3	3	1.0063
Iridocyclitis in diseases classified elsewhere	H7_IRIDOCYCLITISINOTH	VII Diseases of the eye and adnexa (H7_)	558	478	429396	3	2	0.91185
Degenerative myopia	H7_DEGENMYOPIA	VII Diseases of the eye and adnexa (H7_)	200	176	434113	3	0	0.67361
Other disorders of choroid	H7_CHOROIDOTH	VII Diseases of the eye and adnexa (H7_)	430	388	413784	3	0	0.85575
Other and unspecified nerve root and plexus disorders, also in other diseases	G6_ROOTPLEXOTHUNS	VI Diseases of the nervous system (G6_)	6982	5997	395832	3	5	1.068
Disorders of myoneural junction and muscle in diseases classified elsewhere	G6_MYOMUSCINOTH	VI Diseases of the nervous system (G6_)	235	208	449570	3	3	0.72606
Circumscribed brain atrophy	G6_ATROPHCIRCUM	VI Diseases of the nervous system (G6_)	579	516	440344	3	4	0.91696
Vascular dementia	F5_VASCDEM	V Mental and behavioural disorders (F5_)	3116	2717	433066	3	3	1.0551
Disorder of the sleep-wake schedule	F5_SLEEPWAKE	V Mental and behavioural disorders (F5_)	548	456	445483	3	0	0.90356
Schizophrenia	F5_SCHZPHR	V Mental and behavioural disorders (F5_)	6933	6708	439144	3	2	1.0146
Schizoid personality disorder	F5_SCHIZPER	V Mental and behavioural disorders (F5_)	614	580	441041	3	1	0.9205
Other and unspecified disorders of psychological development	F5_PSYCHDEVOTH	V Mental and behavioural disorders (F5_)	346	312	448872	3	3	0.81153
Other mental disorders due to brain damage and dysfunction and to physical disease	F5_MENTORG	V Mental and behavioural disorders (F5_)	3704	3385	428053	3	1	1.0379
Other anxiety disorders	F5_ANXIETY	V Mental and behavioural disorders (F5_)	21792	18903	403817	3	2	1.1047
Anankastic personality disorder	F5_ANAPER	V Mental and behavioural disorders (F5_)	1323	1147	441041	3	0	1.0107
Erectile dysfunction	ERECTILE_DYSFUNCTION	V Mental and behavioural disorders (F5_)	2548	2418	196451	3	3	1.0318
Metabolic disorder, other/unspecified	E4_METABONAS	IV Endocrine, nutritional and metabolic diseases (E4_)	87	79	384093	3	1	0.45707
Graves ophthalmopathy, strict	E4_GRAVES_OPHT_STRICT	IV Endocrine, nutritional and metabolic diseases (E4_)	646	598	453087	3	2	0.94566
Nontoxic single thyroid nodule	E4_GOITRENOD	IV Endocrine, nutritional and metabolic diseases (E4_)	2476	2203	385630	3	2	1.0234
Other disorders of glucose regulation and pancreatic internal secretion	E4_GLUCOPANCREAS	IV Endocrine, nutritional and metabolic diseases (E4_)	3087	2788	450646	3	4	1.0246
Other disorders of fluid, electrolyte and acid-base balance	E4_FLUIDELECTRO	IV Endocrine, nutritional and metabolic diseases (E4_)	11929	10530	384093	3	4	1.0407
Iron deficiency	E4_FE_DEF	IV Endocrine, nutritional and metabolic diseases (E4_)	609	437	424573	3	1	0.92562
Other endocrine disorders	E4_ENDODIS	IV Endocrine, nutritional and metabolic diseases (E4_)	1883	1701	434894	3	0	1.0052
Polyglandular dysfunction	E4_DYSPOLYGL	IV Endocrine, nutritional and metabolic diseases (E4_)	73	71	434894	3	3	0.42818
Other disorders of carbohydrate metabolism	E4_CARBO	IV Endocrine, nutritional and metabolic diseases (E4_)	153	143	384093	3	3	0.60858
Neovascular glaucoma	DM_NEOVASCULAR_GLAUCOMA	Diabetes endpoints	1353	1203	440239	3	5	1.0024
Agranulocytosis	D3_AGRANULOCYTOSIS	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	3823	3462	445490	3	1	1.0198
Later onset COPD	COPD_LATER	COPD and related endpoints	12357	11519	191850	3	3	1.0747
Carcinoma in situ of cervix uteri (controls excluding all cancers)	CD2_INSITU_CERVIX_UTERI_EXALLC	II Neoplasms from hospital discharges (CD2_)	3334	2458	198767	3	1	1.0321
Hodgkin lymphoma (controls excluding all cancers)	CD2_HODGKIN_LYMPHOMA_EXALLC	II Neoplasms from hospital discharges (CD2_)	912	846	345118	3	3	0.97229
Melanocytic naevi of upper limb, including shoulder	CD2_BENIGN_MELANOCYTIC_UPPERLIMB	II Neoplasms from hospital discharges (CD2_)	710	633	453023	3	0	0.95784
Benign neoplasm: Choroid	CD2_BENIGN_CHOROID	II Neoplasms from hospital discharges (CD2_)	1764	1483	451969	3	2	1.0135
Benign neoplasm: Appendix	CD2_BENIGN_APPENDIX	II Neoplasms from hospital discharges (CD2_)	310	273	453423	3	5	0.78256
Malignant neoplasm of testis (controls excluding all cancers)	C3_TESTIS_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	536	426	143624	3	1	0.91509
Non-small cell lung cancer, squamous (controls excluding all cancers)	C3_NSCLC_SQUAM_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	1787	1510	345118	3	3	1.0331
Malignant neoplasm of head and neck (controls excluding all cancers)	C3_HEAD_AND_NECK_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	2819	2281	345118	3	3	1.0261
Brain glioblastoma (controls excluding all cancers)	C3_GBM_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	378	253	345118	3	0	0.84221
Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder (controls excluding all cancers)	C3_BILIARY_GALLBLADDER_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	1464	1207	345118	3	3	1.0095
Bronchitis	BRONCHITIS	Asthma and related endpoints	69104	61251	384629	3	3	1.0863
Bleeding	BLEEDING	Miscellaneous, not yet classified endpoints	43764	39231	409969	3	3	1.0599
Autoimmune hepatitis	AUTOHEP	XI Diseases of the digestive system (K11_)	230		338286	3		0.71665
Postdysenteric arthropathy	ARTRHO_POSTDYSENTERIC	Rheuma endpoints	311	277	451118	3	2	0.78069
Whooping cough	AB1_WHOOPCOUGH	I Certain infectious and parasitic diseases (AB1_)	199	169	399149	3	3	0.68351
Viral infections characterized by skin and mucous membrane lesions	AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	I Certain infectious and parasitic diseases (AB1_)	17861	15803	435872	3	3	1.0245
Viral haemorrhagic fevers, not elsewhere classified/unspecified	AB1_VIRAL_HEMOR_FEVER_NOS	I Certain infectious and parasitic diseases (AB1_)	2709	2436	450368	3	3	1.0221
Other superficial mycoses	AB1_OTHER_SUPERF_MYCOSIS	I Certain infectious and parasitic diseases (AB1_)	650	561	443609	3	2	0.93703
Bacterial infection, other or unspecified	AB1_BACTINF_NOS	I Certain infectious and parasitic diseases (AB1_)	22704	20226	399149	3	2	1.0324
Problems related to medical facilities and other health care	Z21_PROBL_RELATED_MEDICAL_FACILITI_OTH_HEALTH_CARE	XXI Factors influencing health status and contact with health services (Z21_)	2155	1959	365880	2	1	1.018
severe traumatic brain injury, does not include concussion	TRAUMBRAIN_NONCONCUS	Neurological endpoints	8304	7430	445429	2	1	1.0392
Tongue abnormality	TONGUEABNORMALITY	XI Diseases of the digestive system (K11_)	1907	1707	451826	2	2	1.0254
Temporomandibular joint disorders, including avohilmo	TEMPOROMANDIB_INCLAVO	XI Diseases of the digestive system (K11_)	17820	14944	435913	2	0	1.0599
Fracture at wrist and hand level	ST19_FRACT_WRIST_HAND_LEVEL	XIX Injury, poisoning and certain other consequences of external causes (ST19_)	14734	12701	401125	2	2	1.0382
Smoking dependency	SMOKING_DEPEND	Comorbidities of Asthma	2747	2443	449462	2	2	1.0507
Respiratory disorders in diseases classified elsewhere	RESP_ILL_DIS_CLASS_ELSEWHERE	Interstitial lung disease endpoints	403	366	453330	2	1	0.85387
Undescended testicle	Q17_UNDES_TESTICLE	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	337	289	450153	2	2	0.80359
Other specified congenital malformation syndromes affecting multiple systems	Q17_OTHER_SPECIFE_CONGEN_MALFO_SYNDR_AFFECTING_MULTIPLE_SYSTEMS	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	531	480	450595	2	2	0.91099
Other congenital malformations of ear	Q17_OTHER_CONGEN_MALFO_EAR	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	441	391	451362	2	1	0.8669
Congenital malformations of genital organs	Q17_CONGEN_MALFO_GENITAL_ORGANS	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	3580	3166	450153	2	0	1.0298
Congenital hydrocephalus	Q17_CONGEN_HYDROCEPHALUS	Neurological endpoints	128	113	453006	2	0	0.55319
Neonatal jaundice from other and unspecified causes	P16_NEONTAL_JAUND_OTH_UNSP_CAUSES	XVI Certain conditions originating in the perinatal period (P16_)	433	359	453154	2	2	0.8912
Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery	P16_FET_NEWB_MATERN_FACTO_COMPLICATIO_PREGNAC_LABOUR_DELIV	XVI Certain conditions originating in the perinatal period (P16_)	402	335	453331	2	1	0.87012
Poor fetal growth	O15_POOR_FETGRO	XV Pregnancy, childbirth and the puerperium (O15_)	4617	4054	250001	2	2	1.0542
Maternal care related to the fetus and amniotic cavity and possible delivery problems	O15_MATERN_CARE	XV Pregnancy, childbirth and the puerperium (O15_)	54085	47486	200533	2	2	1.0772
Labour and delivery complicated by fetal stress [distress]	O15_LABOUR_FETAL_STRESS	XV Pregnancy, childbirth and the puerperium (O15_)	10796	9428	194563	2	1	1.0792
False labour	O15_FALSE_LAB	XV Pregnancy, childbirth and the puerperium (O15_)	18606	16307	200533	2	2	1.0995
Excessive vomiting in pregnancy	O15_EXCESS_VOMIT_PREG	XV Pregnancy, childbirth and the puerperium (O15_)	2961	2677	215354	2	2	1.0539
Perineal laceration during delivery	O15_DELIV_PERIN_LACER	XV Pregnancy, childbirth and the puerperium (O15_)	6435	5552	194563	2	3	1.0655
Single delivery by forceps and vacuum extractor	O15_DELIV_FORCEP_VAC	XV Pregnancy, childbirth and the puerperium (O15_)	10006	8676	108817	2	0	1.0896
Antepartum haemorrhage, not elsewhere classified	O15_ANTEPART_HAEM_NAS	XV Pregnancy, childbirth and the puerperium (O15_)	3255	2853	200533	2	2	1.0355
Non-invasive ventilation	NIV	Interstitial lung disease endpoints	8807	7360	195394	2	0	1.0983
HSIL lesion of the vulva	N14_VULVAL_HSIL	XIV Diseases of the genitourinary system (N14_)	483	431	254135	2	1	0.89535
Other disorders of prostate	N14_PROSTAOTH	XIV Diseases of the genitourinary system (N14_)	1168	1072	141300	2	3	1.0116
Prolapse and hernia of ovary and fallopian tube	N14_PROHERNOV	XIV Diseases of the genitourinary system (N14_)	1369	1237	119468	2	2	1.0503
Irregular menses	N14_MENSIRREG	XIV Diseases of the genitourinary system (N14_)	21784	19135	216296	2	2	1.0495
Other menopausal disorders	N14_MENOPAUSOT	XIV Diseases of the genitourinary system (N14_)	20131	14648	119468	2	1	1.0682
Hydronephrosis	N14_HYDRONEPHR	XIV Diseases of the genitourinary system (N14_)	3979	3542	406534	2	0	1.0265
Female infertility, associated with anovulation	N14_FIANOV	XIV Diseases of the genitourinary system (N14_)	3182	2792	119468	2	0	1.0582
Pain and other conditions associated with female genital organs and menstrual cycle	N14_FEMGENPAIN	XIV Diseases of the genitourinary system (N14_)	8894	7788	119468	2	2	1.0723
Cyst of Bartholin Gland	N14_BARTHOCYS	XIV Diseases of the genitourinary system (N14_)	1297	1166	226439	2	1	1.0179
Abscess of Bartholin gland	N14_BARTHOABSCESS	XIV Diseases of the genitourinary system (N14_)	893	788	226439	2	0	0.97744
Other abnormal uterine and vaginal bleeding	N14_ABNORMALBLEED	XIV Diseases of the genitourinary system (N14_)	12229	11110	119468	2	1	1.0571
Degenerative macular diseases	MACULA_NAS	VII Diseases of the eye and adnexa (H7_)	4159	3751	413784	2	2	1.0332
Temporal arteritis	M13_TEMPARTERIT	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	1086	958	439424	2	1	0.99105
Systemic sclerosis	M13_SYSTSLCE	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	768	680	439424	2	2	0.95809
Disorders of synovium and tendon in diseases classified elsewhere	M13_SYNOTENDINOTH	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	665	592	326530	2	1	0.94043
Disorders of synovium and tendon	M13_SYNOTEND	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	25653	22638	326530	2	2	1.0807
Scoliosis	M13_SCOLIOSIS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	3244	2817	322314	2	1	1.0406
Rheumatism, unspecified	M13_RHEUMATISM	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	5449	5040	326530	2	2	1.0692
Pyogenic arthritis	M13_PYOGARTH	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	2441	2207	287796	2	3	1.0236
Polymyositis	M13_POLYMYO	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	261	244	439424	2	2	0.7403
Polymyalgia rheumatica	M13_POLYMYALGIA	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	4403	3871	439424	2	2	1.0447
Plantar fascial fibromatosis	M13_PLANTARFASC	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	3547	3085	326530	2	2	1.0445
Palindromic rheumatism	M13_PALINDROMIC	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	354	322	287796	2	1	0.82217
Osteomyelitis	M13_OSTEOMYELITIS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	2125	1881	429826	2	2	1.0213
Lateral epicondylitis	M13_LATERALEPICOND	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	5280	4754	326530	2	4	1.0672
Juvenile osteochondrosis	M13_JUVOSTEOCHONRHIP	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	1174	1044	445700	2	1	0.99486
Hallux rigidus	M13_HALLUXRIGIDUS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	5321	4852	287796	2	5	1.0893
Giant cell arteritis	M13_GIANTCELL	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	1216	1066	439424	2	1	1.001
Flat foot [pes planus] (acquired)	M13_FLATFOOT	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	3419	2996	287796	2	3	1.06
Fibromyalgia	M13_FIBROMYALGIA	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	3166	2689	326530	2	1	1.0552
Diastasis of muscle	M13_DIASTASIS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	225	191	326530	2	0	0.70564
Other dermatomyositis	M13_DERMATOMYOTH	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	157	150	439424	2	4	0.61242
Chondropathies	M13_CHRONDROPATHIES	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	5949	5316	445700	2	0	1.0304
Cervicobrachial syndrome	M13_CERVICOBRACHSDR	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	9185	8114	322314	2	1	1.0733
Bicipital tendinitis	M13_BICIPITALTEND	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	1638	1458	326530	2	0	1.0256
Arthropathies in other diseases classified elsewhere	M13_ARTHINOTH	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	1220	1138	287796	2	2	0.99832
Achilles tendinitis	M13_ACHILLESTEND	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	3874	3434	322314	2	1	1.0475
Vitiligo	L12_VITILIGO	XII Diseases of the skin and subcutaneous tissue (L12_)	339	292	423041	2	2	0.81237
Seborrhoeic dermatitis	L12_SEBORRHOEIC	XII Diseases of the skin and subcutaneous tissue (L12_)	3382	2949	394476	2	3	1.0373
Pustulosis palmaris et plantaris	L12_PSORI_PUSTUPALM	XII Diseases of the skin and subcutaneous tissue (L12_)	1386	1249	437420	2	1	1.0223
Other disorders of skin and subcutaneous tissue	L12_OTHERSKINSUBCUTIS	XII Diseases of the skin and subcutaneous tissue (L12_)	30692	26672	423041	2	1	1.0523
Other contact dermatitis	L12_OTHERCONTACT	XII Diseases of the skin and subcutaneous tissue (L12_)	3078	2766	394476	2	1	1.0375
Lichen simplex chronicus	L12_LICHENSIMPLEX	XII Diseases of the skin and subcutaneous tissue (L12_)	1094	992	394476	2	2	0.99508
Infections of the skin and subcutaneous tissue	L12_INFECT_SKIN	XII Diseases of the skin and subcutaneous tissue (L12_)	26746	23514	426987	2	1	1.0644
Other follicular disorders	L12_FOLICULAROTH	XII Diseases of the skin and subcutaneous tissue (L12_)	2461	2174	432686	2	0	1.0437
Corns and callosities	L12_CORNSANDCALLOS	XII Diseases of the skin and subcutaneous tissue (L12_)	2349	2114	423041	2	2	1.0267
Atrophic disorders of skin	L12_ATROPHICSKIN	XII Diseases of the skin and subcutaneous tissue (L12_)	5037	4293	423041	2	3	1.0325
Tic disorders (more control exclusions)	KRA_PSY_TIC_EXMORE	Psychiatric endpoints from Katri Räikkönen	420	365	330460	2	1	0.84198
Tic disorders	KRA_PSY_TIC	Psychiatric endpoints from Katri Räikkönen	420	365	453313	2	1	0.85789
Mental retardation (more control exclusions)	KRA_PSY_MENTALRET_EXMORE	Psychiatric endpoints from Katri Räikkönen	1329	1254	330392	2	2	0.97721
Hyperkinetic disorders (more control exclusions)	KRA_PSY_HYPERKIN_EXMORE	Psychiatric endpoints from Katri Räikkönen	3964	3024	330460	2	1	1.0733
KRA_PSY_EATING (more control exclusions)	KRA_PSY_EATING_EXMORE	Psychiatric endpoints from Katri Räikkönen	3525	3121	330460	2	2	1.0455
Acute peritonitis	K11_PERITONITIS	XI Diseases of the digestive system (K11_)	2148	1954	450101	2	1	1.0101
Other diseases of pancreas	K11_PANCOTH	XI Diseases of the digestive system (K11_)	2350	2019	397583	2	2	1.025
Diseases of oesophagus, stomach and duodenum	K11_OESSTODUO	XI Diseases of the digestive system (K11_)	68651	62117	385082	2	2	1.1171
Molar incisor enamel hypoplasia	K11_MIH	XI Diseases of the digestive system (K11_)	852	676	452881	2	2	0.97745
Other diseases of jaws	K11_JAWS	XI Diseases of the digestive system (K11_)	2459	2129	288472	2	1	1.0153
Impacted teeth	K11_IMPACTED_TEETH	XI Diseases of the digestive system (K11_)	7560	6106	446173	2	0	1.0532
Irritable bowel syndrome	K11_IBS	XI Diseases of the digestive system (K11_)	11742	10329	360393	2	0	1.0541
IBD (strict) with PSC	K11_IBD_STRICT_PSC	Gastrointestinal endpoints	322	302	438277	2	1	0.80393
Gingival hyperplasia	K11_GINGIV_HYPERPLAS	XI Diseases of the digestive system (K11_)	1032	889	288472	2	1	0.99209
Functional dyspepsia	K11_FUNCDYSP	XI Diseases of the digestive system (K11_)	10851	9680	385082	2	4	1.0565
